tweet_id,Date,User,Tweet
0,2023-02-23 23:30:00+00:00,ndtv,"""G20 Presidency Opportunity For World To See India's Diversity"": S Jaishankar  https://t.co/gtdu51w3vM https://t.co/1rD1rvtpDs"
1,2023-02-23 22:30:00+00:00,ndtv,"""India's Democracy Turned Into Hitlershahi"": Congress Chief On Pawan Khera Arrest  https://t.co/JvlUQ3j899 https://t.co/NbqVZOl6IJ"
2,2023-02-23 21:30:00+00:00,ndtv,"""Election Ke Bahane..."": What Nagaland Minister Shared In Viral Tweet  https://t.co/BEQBJ6FDjY https://t.co/cJo5sIoUSj"
3,2023-02-23 20:30:00+00:00,ndtv,US Spy Plane Pilot's Selfie With Chinese Balloon Released By Pentagon https://t.co/hkpWWMYOYg https://t.co/VzumLDPkKq
4,2023-02-23 20:02:17+00:00,ndtv,"#NDTVExclusive | ""Food Habit A State Subject Not Centre's Subject"": Meghalaya BJP Chief On Eating Beef

NDTV's Ratnadip Choudhury reports https://t.co/NV2snt7HVZ"
5,2023-02-23 20:00:31+00:00,ndtv,"Meghalaya Elections: Politics Through Rock Music

NDTV's Ratnadip Choudhury reports https://t.co/JfYu0RrsNX"
6,2023-02-23 19:58:54+00:00,ndtv,"#LeftRightCentre | Janki Khaund, spokesperson, BJP Assam, on Pawan Khera's arrest https://t.co/jpVqf792f3"
7,2023-02-23 19:51:34+00:00,ndtv,"#LeftRightCentre | Neerja Chowdhury, senior journalist, on Pawan Khera's arrest https://t.co/aye3tHf8Bj"
8,2023-02-23 19:37:12+00:00,ndtv,"#LeftRightCentre | Salman Soz, Congress Spokesperson, on Pawan Khera's arrest https://t.co/ukirX1VkJU"
9,2023-02-23 19:30:00+00:00,ndtv,Europeans Mock UK Shoppers With Pics Of Supermarket Shelves Full Of Fruits And Vegetables  https://t.co/qkpJSCN9si https://t.co/9KsMh34rq0
10,2023-02-23 19:25:26+00:00,ndtv,"#LeftRightCentre | Bhaskar Ghosh, BJP Leader, on Pawan Khera's arrest https://t.co/r1vCwvQP3f"
11,2023-02-23 19:16:29+00:00,ndtv,"#LeftRightCentre | Aman Lekhi, senior advocate, Supreme Court, on Pawan Khera's arrest https://t.co/DJTZwWkxIR"
12,2023-02-23 19:05:41+00:00,ndtv,"#LeftRightCentre | "" The centre is keeping an eye on it"": Manjeet Rai, BJP leader, on whether the central government should take the responsibility of keeping an eye on pro-Khalistani leaders such as Amritpal Singh https://t.co/DiWrIF1f92"
13,2023-02-23 18:50:35+00:00,ndtv,"#LeftRightCentre | ""Amritpal Singh said on national television that Amit Shah will meet same fate as Indira Gandhi. What's the centre and the NIA doing about it?"": Syed Asad Abbas, AAP supporter, on clash between pro-Khalistani leader Amritpal Singh's supporters and Punjab Police https://t.co/9OpkylHU8d"
14,2023-02-23 18:36:25+00:00,ndtv,"#LeftRightCentre | ""The judge, jury, and executioner have already made the case. What Pawan Khera said was probably just slip of tongue"": Salman Soz, Congress spokesperson, on Pawan Khera's arrest https://t.co/VnQvVxkJBI"
15,2023-02-23 18:33:22+00:00,ndtv,"#LeftRightCentre | ""Wording in the FIR is as perfect as possible. It is a deep-rooted conspiracy that started long ago. If this is not a conspiracy then what is?"": BJP leader Bhaskar Ghosh on Congress leader Pawan Khera's arrest https://t.co/3qoYik974j"
16,2023-02-23 18:31:25+00:00,ndtv,"#LeftRightCentre | ""When an offence is committed, it is not guaranteed that it should lead to arrest. Abuse doesn't always lead to a criminal offence"": Aman Lekhi, senior Supreme Court advocate, on Congress leader Pawan Khera's arrest https://t.co/9uJd3Ze9A0"
17,2023-02-23 18:26:34+00:00,ndtv,"#BreakingViews | K Kavitha, Telangana MLC, in an exclusive interview to NDTV https://t.co/hax2geCCFt"
18,2023-02-23 18:21:45+00:00,ndtv,"#BreakingViews | K Kavitha, Telangana MLC, on Congress' Pawan Khera's arrest https://t.co/XZsciAOF92"
19,2023-02-23 18:09:58+00:00,ndtv,#CelebWatch | Alia Bhatt Looks Stylish In Pink Outfit https://t.co/H1Jn7QvHwo
20,2023-02-23 18:08:19+00:00,ndtv,"Watch | Arati R Jerath, senior journalist, on midnight chaos at Delhi Civic Body https://t.co/soIvSW6Zpt"
21,2023-02-23 18:07:09+00:00,ndtv,"Watch | Anand Goel, RWA president, Vivek Vihar,  on midnight chaos at Delhi Civic Body https://t.co/v8AJ0qgKet"
22,2023-02-23 18:06:12+00:00,ndtv,Watch | AAP spokesperson Priyanka Kakkar on midnight chaos at Delhi Civic Body https://t.co/MGqCzoDqsM
23,2023-02-23 17:49:34+00:00,ndtv,"#BreakingViews | ""PM Modi failed to deliver on his promises of 2 crore jobs. BRS government promised 1 lakh jobs and gave 2.5 lakh jobs"": K Kavitha (@RaoKavitha), BRS leader https://t.co/2pGkpenLNT"
24,2023-02-23 17:47:36+00:00,ndtv,"#BreakingViews | ""If you are pointing fingers at each other then there is no use. Opposition parties need to realise that we have a common enemy. The sooner Congress realises this the better"": K Kavitha (@RaoKavitha), BRS leader https://t.co/uYx0b436mR"
25,2023-02-23 17:45:07+00:00,ndtv,"#BreakingViews | ""Only after the Bharat Rashtra Samithi started questioning the BJP, these raids started to happen. Although this is an unfair game in politics, we will keep fighting"": K Kavitha (@RaoKavitha), BRS leader on probe agency raids on opposition parties https://t.co/vR9AvEI7zr"
